recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.1594587500
0.0689655172,0.6666666667,,0.2169510488
0.1034482759,0.7500000000,,0.2211888955
0.1379310345,0.8000000000,,0.2336830111
0.1724137931,0.8333333333,,0.2380418117
0.2068965517,0.8571428571,,0.2417508984
0.2413793103,0.6363636364,,0.2670249770
0.2758620690,0.5714285714,,0.2816535849
0.3103448276,0.5625000000,,0.2906767936
0.3448275862,0.5555555556,,0.2933167638
0.3793103448,0.5789473684,,0.2935565961
0.4137931034,0.6000000000,,0.2966903021
0.4482758621,0.5652173913,,0.3071877174
0.4827586207,0.5600000000,,0.3223184938
0.5172413793,0.4687500000,,0.3338522431
0.5517241379,0.4444444444,,0.3392532698
0.5862068966,0.4146341463,,0.3442818774
0.6206896552,0.3529411765,,0.3657170021
0.6551724138,0.3653846154,,0.3662136452
0.6896551724,0.3333333333,,0.3806591319
0.7241379310,0.2763157895,,0.4097767976
0.7586206897,0.1594202899,,0.5013446980
0.7931034483,0.1437500000,,0.5301602352
0.8275862069,0.1463414634,,0.5357024512
0.8620689655,0.1488095238,,0.5392852202
0.8965517241,0.1171171171,,0.6156705093
0.9310344828,0.1080000000,,0.6375188060
0.9655172414,0.0900321543,,0.7061384814
1.0000000000,0.0826210826,,0.7503683969
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
