recall,precision,chance_precision,dist
0.0344827586,0.2000000000,,8.7965669059
0.0689655172,0.2857142857,,9.0706497349
0.1034482759,0.3750000000,,9.0775258674
0.1379310345,0.4444444444,,9.1399244613
0.1724137931,0.3571428571,,9.3009032693
0.2068965517,0.1666666667,,9.6040492438
0.2413793103,0.0921052632,,9.9190523802
0.2758620690,0.1000000000,,9.9332391620
0.3103448276,0.1034482759,,9.9634803540
0.3448275862,0.0813008130,,10.2162309841
0.3793103448,0.0769230769,,10.3642390067
0.4137931034,0.0833333333,,10.3920988092
0.4482758621,0.0570175439,,10.9541046133
0.4827586207,0.0424242424,,11.8522388554
0.5172413793,0.0328227571,,13.8196122969
0.5517241379,0.0334728033,,14.3742299385
0.5862068966,0.0334645669,,15.4601945252
0.6206896552,0.0350194553,,15.7039799726
0.6551724138,0.0362595420,,16.2973557845
0.6896551724,0.0380228137,,16.3576729136
0.7241379310,0.0386029412,,17.2656708199
0.7586206897,0.0400728597,,17.5418540478
0.7931034483,0.0414414414,,18.0782522563
0.8275862069,0.0429338104,,18.3645635035
0.8620689655,0.0446428571,,18.4813098519
0.8965517241,0.0460176991,,18.9542983112
0.9310344828,0.0475352113,,19.1370547088
0.9655172414,0.0492091388,,19.1694011318
1.0000000000,0.0502599653,,20.2932558885
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
