recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,1.0291822090
0.0689655172,0.6666666667,,1.4579375559
0.1034482759,0.7500000000,,1.5461095221
0.1379310345,0.8000000000,,1.5869957486
0.1724137931,0.8333333333,,1.6326937765
0.2068965517,0.4615384615,,1.8310283043
0.2413793103,0.4375000000,,1.9246244004
0.2758620690,0.4705882353,,1.9280097002
0.3103448276,0.4090909091,,2.0517239773
0.3448275862,0.3846153846,,2.0962841197
0.3793103448,0.4074074074,,2.1007829040
0.4137931034,0.3750000000,,2.1268088363
0.4482758621,0.3939393939,,2.1351777194
0.4827586207,0.3414634146,,2.2500767882
0.5172413793,0.3488372093,,2.2751443380
0.5517241379,0.3478260870,,2.3063980785
0.5862068966,0.3333333333,,2.3492891604
0.6206896552,0.3272727273,,2.4229438535
0.6551724138,0.3114754098,,2.4863632698
0.6896551724,0.2702702703,,2.6466810341
0.7241379310,0.2470588235,,2.7479567561
0.7586206897,0.2178217822,,2.8561225323
0.7931034483,0.2000000000,,2.9536727972
0.8275862069,0.2051282051,,2.9919574245
0.8620689655,0.2032520325,,3.0180131712
0.8965517241,0.2000000000,,3.0611633057
0.9310344828,0.1153846154,,3.5116432960
0.9655172414,0.1142857143,,3.5696928928
1.0000000000,0.1155378486,,3.5897747402
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
