recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.0517125774
0.0689655172,0.6666666667,,0.1651487054
0.1034482759,0.5000000000,,0.2762906445
0.1379310345,0.4444444444,,0.3385126780
0.1724137931,0.4166666667,,0.3457257303
0.2068965517,0.4000000000,,0.3947587687
0.2413793103,0.4117647059,,0.4253920439
0.2758620690,0.3809523810,,0.4435208628
0.3103448276,0.3750000000,,0.4586799727
0.3448275862,0.4000000000,,0.4634650720
0.3793103448,0.3793103448,,0.4950601138
0.4137931034,0.3750000000,,0.5137098825
0.4482758621,0.2708333333,,0.6533438965
0.4827586207,0.2745098039,,0.6700113617
0.5172413793,0.2500000000,,0.7759458153
0.5517241379,0.2461538462,,0.8005165288
0.5862068966,0.2537313433,,0.8289269134
0.6206896552,0.2022471910,,0.9877204558
0.6551724138,0.2111111111,,0.9898718066
0.6896551724,0.1980198020,,1.0781453450
0.7241379310,0.1810344828,,1.1459479807
0.7586206897,0.1496598639,,1.3005460641
0.7931034483,0.1352941176,,1.3968483365
0.8275862069,0.1325966851,,1.4262870136
0.8620689655,0.1302083333,,1.4626731443
0.8965517241,0.1111111111,,1.6131553737
0.9310344828,0.1071428571,,1.6946380038
0.9655172414,0.0851063830,,1.9788028900
1.0000000000,0.0807799443,,2.0924761694
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
