recall,precision,chance_precision,dist
0.0344827586,0.0027932961,,33.0276366282
0.0689655172,0.0054054054,,33.1250255162
0.1034482759,0.0080000000,,33.1668455123
0.1379310345,0.0105540897,,33.2071982925
0.1724137931,0.0126582278,,33.4400655827
0.2068965517,0.0149253731,,33.5644690902
0.2413793103,0.0170731707,,33.7067020919
0.2758620690,0.0185614849,,33.9343390120
0.3103448276,0.0206896552,,33.9580937891
0.3448275862,0.0215053763,,34.1944087754
0.3793103448,0.0235546039,,34.2235458911
0.4137931034,0.0254777070,,34.2455171902
0.4482758621,0.0263157895,,34.2952525846
0.4827586207,0.0277227723,,34.3211509541
0.5172413793,0.0294117647,,34.3255585903
0.5517241379,0.0311890838,,34.3279423387
0.5862068966,0.0321969697,,34.3356654470
0.6206896552,0.0340264650,,34.3362693206
0.6551724138,0.0357142857,,34.3366556866
0.6896551724,0.0365630713,,34.3375084370
0.7241379310,0.0381125227,,34.3375847911
0.7586206897,0.0393559928,,34.3376948764
0.7931034483,0.0406360424,,34.3382188522
0.8275862069,0.0420315236,,34.3392244876
0.8620689655,0.0436300175,,34.3399647814
0.8965517241,0.0451388889,,34.3433582174
0.9310344828,0.0467128028,,34.3468349482
0.9655172414,0.0479452055,,34.3532006170
1.0000000000,0.0494880546,,34.3583444617
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
