recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3359150018
0.0689655172,0.6666666667,,0.4016799845
0.1034482759,0.4285714286,,0.5415909374
0.1379310345,0.4444444444,,0.5628858951
0.1724137931,0.5000000000,,0.5725517325
0.2068965517,0.5000000000,,0.6013413829
0.2413793103,0.5384615385,,0.6077976444
0.2758620690,0.5714285714,,0.6081361264
0.3103448276,0.6000000000,,0.6253828828
0.3448275862,0.5263157895,,0.6583996403
0.3793103448,0.4230769231,,0.7428959985
0.4137931034,0.4444444444,,0.7444317982
0.4482758621,0.4333333333,,0.7765977483
0.4827586207,0.4117647059,,0.8350491498
0.5172413793,0.3947368421,,0.8711040835
0.5517241379,0.4000000000,,0.8994731034
0.5862068966,0.4047619048,,0.9159935990
0.6206896552,0.2857142857,,1.0682783688
0.6551724138,0.2676056338,,1.1399924076
0.6896551724,0.2500000000,,1.2559429729
0.7241379310,0.2359550562,,1.3161920983
0.7586206897,0.2156862745,,1.3824902382
0.7931034483,0.1965811966,,1.4650378255
0.8275862069,0.1951219512,,1.5059030573
0.8620689655,0.1644736842,,1.6497808642
0.8965517241,0.1635220126,,1.6946584924
0.9310344828,0.1508379888,,1.7692130761
0.9655172414,0.1142857143,,2.0507508370
1.0000000000,0.0884146341,,2.4556250059
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
