recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3812187197
0.0689655172,1.0000000000,,0.4376796353
0.1034482759,1.0000000000,,0.4684311900
0.1379310345,0.5714285714,,0.5682494168
0.1724137931,0.6250000000,,0.5744316562
0.2068965517,0.6666666667,,0.5995948013
0.2413793103,0.7000000000,,0.6702695828
0.2758620690,0.7272727273,,0.6892062403
0.3103448276,0.6923076923,,0.7383426833
0.3448275862,0.5000000000,,0.9044654855
0.3793103448,0.5000000000,,0.9136639988
0.4137931034,0.5217391304,,0.9157837487
0.4482758621,0.5200000000,,0.9507186539
0.4827586207,0.3684210526,,1.2046932732
0.5172413793,0.3846153846,,1.2062125078
0.5517241379,0.3902439024,,1.2085524880
0.5862068966,0.4047619048,,1.2233448832
0.6206896552,0.4186046512,,1.2321358273
0.6551724138,0.4318181818,,1.2386663387
0.6896551724,0.4255319149,,1.2595880574
0.7241379310,0.3888888889,,1.3607255718
0.7586206897,0.2972972973,,1.5464983171
0.7931034483,0.2555555556,,1.6092345917
0.8275862069,0.2637362637,,1.6103184257
0.8620689655,0.2155172414,,1.6768140398
0.8965517241,0.1857142857,,1.7390732256
0.9310344828,0.1221719457,,1.8474368866
0.9655172414,0.1010830325,,1.9030553175
1.0000000000,0.0599173554,,2.1394690412
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
