recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.0057124500
0.0689655172,0.4000000000,,0.0545528006
0.1034482759,0.4285714286,,0.0648770630
0.1379310345,0.4444444444,,0.0981551036
0.1724137931,0.4166666667,,0.1146958260
0.2068965517,0.3750000000,,0.1465429527
0.2413793103,0.4117647059,,0.1756795933
0.2758620690,0.4000000000,,0.2061068702
0.3103448276,0.3750000000,,0.2501918623
0.3448275862,0.3448275862,,0.3094192900
0.3793103448,0.3142857143,,0.3512536861
0.4137931034,0.2926829268,,0.4156064296
0.4482758621,0.3095238095,,0.4209196013
0.4827586207,0.3111111111,,0.4350397452
0.5172413793,0.2941176471,,0.5123623241
0.5517241379,0.2758620690,,0.5481399783
0.5862068966,0.2881355932,,0.5529703887
0.6206896552,0.3000000000,,0.5788375338
0.6551724138,0.3114754098,,0.5806205658
0.6896551724,0.3076923077,,0.6079478759
0.7241379310,0.3134328358,,0.6259507318
0.7586206897,0.3235294118,,0.6263216708
0.7931034483,0.3285714286,,0.6300742807
0.8275862069,0.2162162162,,0.8220079722
0.8620689655,0.1851851852,,0.8970938661
0.8965517241,0.1220657277,,1.0562421561
0.9310344828,0.1129707113,,1.0999779878
0.9655172414,0.1147540984,,1.1146236662
1.0000000000,0.1146245059,,1.1259775250
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
