recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3118300043
0.0689655172,1.0000000000,,0.3582780660
0.1034482759,0.7500000000,,0.3979418673
0.1379310345,0.5714285714,,0.4713817480
0.1724137931,0.6250000000,,0.4808131418
0.2068965517,0.6666666667,,0.5176458424
0.2413793103,0.6363636364,,0.6260478228
0.2758620690,0.6153846154,,0.6614748810
0.3103448276,0.6000000000,,0.7104544148
0.3448275862,0.5000000000,,0.8419705909
0.3793103448,0.5000000000,,0.8609347595
0.4137931034,0.5000000000,,0.8777676129
0.4482758621,0.5000000000,,0.9155625607
0.4827586207,0.3783783784,,1.1027556293
0.5172413793,0.3750000000,,1.1424162075
0.5517241379,0.3902439024,,1.1781706859
0.5862068966,0.4047619048,,1.1807696743
0.6206896552,0.4186046512,,1.1817416692
0.6551724138,0.4222222222,,1.1940425485
0.6896551724,0.4255319149,,1.2059059407
0.7241379310,0.3559322034,,1.3318528084
0.7586206897,0.2820512821,,1.5033490433
0.7931034483,0.2371134021,,1.5754957980
0.8275862069,0.2400000000,,1.5845789009
0.8620689655,0.2155172414,,1.6215510371
0.8965517241,0.1830985915,,1.6887915421
0.9310344828,0.1184210526,,1.8102817802
0.9655172414,0.0996441281,,1.8574790995
1.0000000000,0.0889570552,,1.8982086521
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
