recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.3669362365
0.0689655172,1.0000000000,,0.4323792348
0.1034482759,1.0000000000,,0.4343990411
0.1379310345,0.5714285714,,0.5442712972
0.1724137931,0.6250000000,,0.5489431647
0.2068965517,0.6666666667,,0.5722596039
0.2413793103,0.7000000000,,0.6643818434
0.2758620690,0.6666666667,,0.6896008348
0.3103448276,0.6923076923,,0.7318816913
0.3448275862,0.5263157895,,0.8972192403
0.3793103448,0.5000000000,,0.9050005422
0.4137931034,0.5217391304,,0.9111693688
0.4482758621,0.5200000000,,0.9424803489
0.4827586207,0.3684210526,,1.1918259145
0.5172413793,0.3750000000,,1.2038036820
0.5517241379,0.3902439024,,1.2074439967
0.5862068966,0.4047619048,,1.2152153950
0.6206896552,0.4186046512,,1.2253927875
0.6551724138,0.4318181818,,1.2256435506
0.6896551724,0.4255319149,,1.2490544166
0.7241379310,0.3750000000,,1.3575322956
0.7586206897,0.2972972973,,1.5371330354
0.7931034483,0.2527472527,,1.6026320886
0.8275862069,0.2608695652,,1.6085665810
0.8620689655,0.2272727273,,1.6493825097
0.8965517241,0.1897810219,,1.7271800064
0.9310344828,0.1221719457,,1.8413865096
0.9655172414,0.1018181818,,1.8976579094
1.0000000000,0.0622317597,,2.1146091779
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
