recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.1390290207
0.0689655172,1.0000000000,,0.1655897418
0.1034482759,0.6000000000,,0.2605423953
0.1379310345,0.5714285714,,0.3049714952
0.1724137931,0.6250000000,,0.3051467888
0.2068965517,0.6666666667,,0.3270796038
0.2413793103,0.5000000000,,0.4907108295
0.2758620690,0.4444444444,,0.5833704854
0.3103448276,0.4090909091,,0.6481017034
0.3448275862,0.4347826087,,0.6580631058
0.3793103448,0.4074074074,,0.6950482519
0.4137931034,0.4137931034,,0.7089918693
0.4482758621,0.3939393939,,0.7750079978
0.4827586207,0.4000000000,,0.7938710124
0.5172413793,0.4166666667,,0.8170069036
0.5517241379,0.3404255319,,0.9794812990
0.5862068966,0.3469387755,,0.9930285837
0.6206896552,0.3461538462,,1.0149585731
0.6551724138,0.3275862069,,1.0691143769
0.6896551724,0.3333333333,,1.0878044715
0.7241379310,0.3442622951,,1.0940948124
0.7586206897,0.2933333333,,1.1832284773
0.7931034483,0.2421052632,,1.3176821975
0.8275862069,0.1983471074,,1.4401277694
0.8620689655,0.1953125000,,1.4700847900
0.8965517241,0.1625000000,,1.5615477800
0.9310344828,0.1391752577,,1.6225960002
0.9655172414,0.1010830325,,1.7069391914
1.0000000000,0.0909090909,,1.7481456288
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
