recall,precision,chance_precision,dist
0.0344827586,0.5000000000,,0.1074039878
0.0689655172,0.6666666667,,0.1113407356
0.1034482759,0.3750000000,,0.1750011399
0.1379310345,0.3076923077,,0.2194435460
0.1724137931,0.3571428571,,0.2239155068
0.2068965517,0.4000000000,,0.2547291668
0.2413793103,0.3333333333,,0.3625887287
0.2758620690,0.3076923077,,0.3961406270
0.3103448276,0.3103448276,,0.4405438293
0.3448275862,0.3225806452,,0.4511312122
0.3793103448,0.3437500000,,0.4587475301
0.4137931034,0.3000000000,,0.5226822652
0.4482758621,0.3095238095,,0.5397906269
0.4827586207,0.3255813953,,0.5409970946
0.5172413793,0.3260869565,,0.5846979239
0.5517241379,0.3200000000,,0.6131099835
0.5862068966,0.3207547170,,0.6430771537
0.6206896552,0.3157894737,,0.6961617344
0.6551724138,0.3275862069,,0.7049506632
0.6896551724,0.3225806452,,0.7538636369
0.7241379310,0.3088235294,,0.7963386600
0.7586206897,0.2933333333,,0.8478517103
0.7931034483,0.2875000000,,0.8668670488
0.8275862069,0.1983471074,,1.0503732719
0.8620689655,0.1724137931,,1.1461046927
0.8965517241,0.1733333333,,1.1676746271
0.9310344828,0.1436170213,,1.2493263463
0.9655172414,0.1414141414,,1.2654956963
1.0000000000,0.1294642857,,1.3208763752
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
