recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,0.8000000000,
0.1724137931,0.8333333333,
0.2068965517,0.8571428571,
0.2413793103,0.8750000000,
0.2758620690,0.8000000000,
0.3103448276,0.8181818182,
0.3448275862,0.8333333333,
0.3793103448,0.8461538462,
0.4137931034,0.8571428571,
0.4482758621,0.8125000000,
0.4827586207,0.8235294118,
0.5172413793,0.8333333333,
0.5517241379,0.7272727273,
0.5862068966,0.6800000000,
0.6206896552,0.3673469388,
0.6551724138,0.2500000000,
0.6896551724,0.2469135802,
0.7241379310,0.1779661017,
0.7586206897,0.1774193548,
0.7931034483,0.1597222222,
0.8275862069,0.0863309353,
0.8620689655,0.0735294118,
0.8965517241,0.0730337079,
0.9310344828,0.0668316832,
0.9655172414,0.0691358025,
1.0000000000,0.0583501006,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
