recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.5000000000,
0.1034482759,0.6000000000,
0.1379310345,0.6666666667,
0.1724137931,0.6250000000,
0.2068965517,0.6666666667,
0.2413793103,0.7000000000,
0.2758620690,0.7272727273,
0.3103448276,0.7500000000,
0.3448275862,0.7142857143,
0.3793103448,0.7333333333,
0.4137931034,0.7058823529,
0.4482758621,0.7222222222,
0.4827586207,0.5600000000,
0.5172413793,0.4838709677,
0.5517241379,0.4848484848,
0.5862068966,0.4250000000,
0.6206896552,0.4285714286,
0.6551724138,0.1681415929,
0.6896551724,0.1515151515,
0.7241379310,0.1304347826,
0.7586206897,0.1301775148,
0.7931034483,0.1236559140,
0.8275862069,0.0819112628,
0.8620689655,0.0563063063,
0.8965517241,0.0565217391,
0.9310344828,0.0562500000,
0.9655172414,0.0558882236,
1.0000000000,0.0525362319,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
