recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.0272020888
0.0689655172,0.5000000000,,0.1768306500
0.1034482759,0.3333333333,,0.3926179504
0.1379310345,0.3076923077,,0.5510225590
0.1724137931,0.3571428571,,0.5588489745
0.2068965517,0.3529411765,,0.6340691170
0.2413793103,0.2800000000,,0.9057336451
0.2758620690,0.3076923077,,0.9338404223
0.3103448276,0.3000000000,,1.0370025494
0.3448275862,0.3125000000,,1.0411111619
0.3793103448,0.3235294118,,1.1085483852
0.4137931034,0.3076923077,,1.2313035423
0.4482758621,0.3170731707,,1.2900184378
0.4827586207,0.3111111111,,1.3587330533
0.5172413793,0.3061224490,,1.4469827247
0.5517241379,0.3200000000,,1.4590334073
0.5862068966,0.3148148148,,1.5251325056
0.6206896552,0.3272727273,,1.5407711563
0.6551724138,0.3220338983,,1.6256317852
0.6896551724,0.2941176471,,1.8422597721
0.7241379310,0.2763157895,,1.9671147551
0.7586206897,0.2528735632,,2.0775982493
0.7931034483,0.2421052632,,2.1588766449
0.8275862069,0.1791044776,,2.5150187864
0.8620689655,0.1623376623,,2.6524749586
0.8965517241,0.1485714286,,2.8169908202
0.9310344828,0.1428571429,,2.9008967796
0.9655172414,0.1115537849,,3.1690291399
1.0000000000,0.1050724638,,3.2892533322
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
