recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.4714533732
0.0689655172,1.0000000000,,0.4956613660
0.1034482759,0.6000000000,,0.9121472762
0.1379310345,0.6666666667,,0.9572573091
0.1724137931,0.5555555556,,0.9945669923
0.2068965517,0.6000000000,,1.0840022724
0.2413793103,0.4666666667,,1.6323190255
0.2758620690,0.4705882353,,1.9087942565
0.3103448276,0.5000000000,,1.9206477616
0.3448275862,0.5263157895,,1.9844852503
0.3793103448,0.4583333333,,2.2413450414
0.4137931034,0.4800000000,,2.2698347456
0.4482758621,0.5000000000,,2.2748306383
0.4827586207,0.3888888889,,2.5255101132
0.5172413793,0.4054054054,,2.5266137114
0.5517241379,0.3902439024,,2.8097489256
0.5862068966,0.3035714286,,3.3719810943
0.6206896552,0.3103448276,,3.4062048687
0.6551724138,0.2794117647,,3.6081662309
0.6896551724,0.2816901408,,3.6782133390
0.7241379310,0.2837837838,,3.7007235546
0.7586206897,0.2716049383,,3.8885100123
0.7931034483,0.2771084337,,3.9401445883
0.8275862069,0.1832061069,,4.3631668748
0.8620689655,0.1552795031,,4.5421517180
0.8965517241,0.1604938272,,4.5456557697
0.9310344828,0.0660146699,,5.2483977370
0.9655172414,0.0551181102,,5.7388762329
1.0000000000,0.0566406250,,5.7626770031
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
