recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,1.0000000000,
0.2068965517,0.8571428571,
0.2413793103,0.8750000000,
0.2758620690,0.8888888889,
0.3103448276,0.9000000000,
0.3448275862,0.7142857143,
0.3793103448,0.7333333333,
0.4137931034,0.7058823529,
0.4482758621,0.7222222222,
0.4827586207,0.5185185185,
0.5172413793,0.5357142857,
0.5517241379,0.5333333333,
0.5862068966,0.5483870968,
0.6206896552,0.5142857143,
0.6551724138,0.5000000000,
0.6896551724,0.3636363636,
0.7241379310,0.3620689655,
0.7586206897,0.3333333333,
0.7931034483,0.3150684932,
0.8275862069,0.3000000000,
0.8620689655,0.1190476190,
0.8965517241,0.1003861004,
0.9310344828,0.0894039735,
0.9655172414,0.0909090909,
1.0000000000,0.0648769575,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
