recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.6666666667,
0.1034482759,0.5000000000,
0.1379310345,0.5714285714,
0.1724137931,0.5000000000,
0.2068965517,0.5000000000,
0.2413793103,0.4666666667,
0.2758620690,0.4705882353,
0.3103448276,0.5000000000,
0.3448275862,0.4000000000,
0.3793103448,0.2894736842,
0.4137931034,0.3000000000,
0.4482758621,0.2888888889,
0.4827586207,0.2372881356,
0.5172413793,0.2343750000,
0.5517241379,0.2253521127,
0.5862068966,0.2361111111,
0.6206896552,0.2368421053,
0.6551724138,0.2435897436,
0.6896551724,0.1980198020,
0.7241379310,0.2019230769,
0.7586206897,0.2056074766,
0.7931034483,0.1575342466,
0.8275862069,0.1428571429,
0.8620689655,0.1428571429,
0.8965517241,0.1420765027,
0.9310344828,0.1428571429,
0.9655172414,0.0906148867,
1.0000000000,0.0648769575,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
