recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.5000000000,
0.1034482759,0.6000000000,
0.1379310345,0.6666666667,
0.1724137931,0.4166666667,
0.2068965517,0.4615384615,
0.2413793103,0.3181818182,
0.2758620690,0.3333333333,
0.3103448276,0.3333333333,
0.3448275862,0.3448275862,
0.3793103448,0.2200000000,
0.4137931034,0.2181818182,
0.4482758621,0.2203389831,
0.4827586207,0.2058823529,
0.5172413793,0.2173913043,
0.5517241379,0.2133333333,
0.5862068966,0.2207792208,
0.6206896552,0.2117647059,
0.6551724138,0.1938775510,
0.6896551724,0.1680672269,
0.7241379310,0.1721311475,
0.7586206897,0.1437908497,
0.7931034483,0.1437500000,
0.8275862069,0.1490683230,
0.8620689655,0.1412429379,
0.8965517241,0.1390374332,
0.9310344828,0.1273584906,
0.9655172414,0.0942760943,
1.0000000000,0.0682352941,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
