recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.1428571429,
0.1034482759,0.0638297872,
0.1379310345,0.0655737705,
0.1724137931,0.0735294118,
0.2068965517,0.0750000000,
0.2413793103,0.0823529412,
0.2758620690,0.0869565217,
0.3103448276,0.0833333333,
0.3448275862,0.0806451613,
0.3793103448,0.0873015873,
0.4137931034,0.0714285714,
0.4482758621,0.0710382514,
0.4827586207,0.0696517413,
0.5172413793,0.0700934579,
0.5517241379,0.0737327189,
0.5862068966,0.0762331839,
0.6206896552,0.0743801653,
0.6551724138,0.0760000000,
0.6896551724,0.0727272727,
0.7241379310,0.0660377358,
0.7586206897,0.0676923077,
0.7931034483,0.0703363914,
0.8275862069,0.0731707317,
0.8620689655,0.0555555556,
0.8965517241,0.0532786885,
0.9310344828,0.0525291829,
0.9655172414,0.0537428023,
1.0000000000,0.0510563380,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
