recall,precision,chance_precision
0.0344827586,0.0555555556,
0.0689655172,0.0210526316,
0.1034482759,0.0234375000,
0.1379310345,0.0210526316,
0.1724137931,0.0167785235,
0.2068965517,0.0189274448,
0.2413793103,0.0217391304,
0.2758620690,0.0229885057,
0.3103448276,0.0257142857,
0.3448275862,0.0267379679,
0.3793103448,0.0293333333,
0.4137931034,0.0270270270,
0.4482758621,0.0288248337,
0.4827586207,0.0307017544,
0.5172413793,0.0323275862,
0.5517241379,0.0336842105,
0.5862068966,0.0354906054,
0.6206896552,0.0366598778,
0.6551724138,0.0374015748,
0.6896551724,0.0388349515,
0.7241379310,0.0400000000,
0.7586206897,0.0418250951,
0.7931034483,0.0436432638,
0.8275862069,0.0446096654,
0.8620689655,0.0462962963,
0.8965517241,0.0480591497,
0.9310344828,0.0497237569,
0.9655172414,0.0513761468,
1.0000000000,0.0519713262,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
