recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,0.7500000000,
0.1379310345,0.8000000000,
0.1724137931,0.7142857143,
0.2068965517,0.7500000000,
0.2413793103,0.7777777778,
0.2758620690,0.6666666667,
0.3103448276,0.6428571429,
0.3448275862,0.6666666667,
0.3793103448,0.5500000000,
0.4137931034,0.5454545455,
0.4482758621,0.4642857143,
0.4827586207,0.4000000000,
0.5172413793,0.3260869565,
0.5517241379,0.2909090909,
0.5862068966,0.2741935484,
0.6206896552,0.2535211268,
0.6551724138,0.2533333333,
0.6896551724,0.2564102564,
0.7241379310,0.2210526316,
0.7586206897,0.1913043478,
0.7931034483,0.1854838710,
0.8275862069,0.1420118343,
0.8620689655,0.1146788991,
0.8965517241,0.1101694915,
0.9310344828,0.0937500000,
0.9655172414,0.0952380952,
1.0000000000,0.0761154856,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
