recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.1272774077
0.0689655172,0.6666666667,,0.1548111339
0.1034482759,0.5000000000,,0.1941159835
0.1379310345,0.5714285714,,0.1991108238
0.1724137931,0.5555555556,,0.2047942458
0.2068965517,0.6000000000,,0.2214824548
0.2413793103,0.5833333333,,0.2243983790
0.2758620690,0.5333333333,,0.2311664569
0.3103448276,0.5000000000,,0.2423103440
0.3448275862,0.5263157895,,0.2473086261
0.3793103448,0.4782608696,,0.2585517956
0.4137931034,0.4285714286,,0.2807030443
0.4482758621,0.4333333333,,0.2899241675
0.4827586207,0.3333333333,,0.3371771879
0.5172413793,0.3409090909,,0.3385274663
0.5517241379,0.3333333333,,0.3509096427
0.5862068966,0.3469387755,,0.3526433882
0.6206896552,0.2686567164,,0.4151174863
0.6551724138,0.2567567568,,0.4335345127
0.6896551724,0.2325581395,,0.5002103046
0.7241379310,0.2142857143,,0.5223234720
0.7586206897,0.2156862745,,0.5351761428
0.7931034483,0.1949152542,,0.5666473214
0.8275862069,0.1904761905,,0.5877704122
0.8620689655,0.1644736842,,0.6340408406
0.8965517241,0.1585365854,,0.6533771740
0.9310344828,0.1459459459,,0.6895720765
0.9655172414,0.1124497992,,0.7985332175
1.0000000000,0.0881458967,,0.9398425407
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
