recall,precision,chance_precision
0.0344827586,0.3333333333,
0.0689655172,0.5000000000,
0.1034482759,0.5000000000,
0.1379310345,0.4444444444,
0.1724137931,0.2941176471,
0.2068965517,0.3333333333,
0.2413793103,0.2413793103,
0.2758620690,0.2105263158,
0.3103448276,0.1764705882,
0.3448275862,0.1923076923,
0.3793103448,0.1746031746,
0.4137931034,0.1791044776,
0.4482758621,0.1477272727,
0.4827586207,0.1521739130,
0.5172413793,0.1562500000,
0.5517241379,0.1553398058,
0.5862068966,0.1574074074,
0.6206896552,0.1607142857,
0.6551724138,0.1681415929,
0.6896551724,0.1724137931,
0.7241379310,0.1721311475,
0.7586206897,0.1517241379,
0.7931034483,0.1533333333,
0.8275862069,0.1363636364,
0.8620689655,0.1396648045,
0.8965517241,0.1300000000,
0.9310344828,0.1261682243,
0.9655172414,0.1138211382,
1.0000000000,0.0944625407,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
