recall,precision,chance_precision
0.0344827586,0.3333333333,
0.0689655172,0.5000000000,
0.1034482759,0.3750000000,
0.1379310345,0.4444444444,
0.1724137931,0.2777777778,
0.2068965517,0.3157894737,
0.2413793103,0.2058823529,
0.2758620690,0.1666666667,
0.3103448276,0.1698113208,
0.3448275862,0.1818181818,
0.3793103448,0.1964285714,
0.4137931034,0.1791044776,
0.4482758621,0.1413043478,
0.4827586207,0.1489361702,
0.5172413793,0.1530612245,
0.5517241379,0.1616161616,
0.5862068966,0.1700000000,
0.6206896552,0.1607142857,
0.6551724138,0.1623931624,
0.6896551724,0.1652892562,
0.7241379310,0.1721311475,
0.7586206897,0.1774193548,
0.7931034483,0.1523178808,
0.8275862069,0.1454545455,
0.8620689655,0.1461988304,
0.8965517241,0.1354166667,
0.9310344828,0.1255813953,
0.9655172414,0.1111111111,
1.0000000000,0.0953947368,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
