recall,precision,chance_precision
0.0344827586,0.2500000000,
0.0689655172,0.4000000000,
0.1034482759,0.4285714286,
0.1379310345,0.4000000000,
0.1724137931,0.2941176471,
0.2068965517,0.2727272727,
0.2413793103,0.2916666667,
0.2758620690,0.1777777778,
0.3103448276,0.1956521739,
0.3448275862,0.1886792453,
0.3793103448,0.1718750000,
0.4137931034,0.1846153846,
0.4482758621,0.1666666667,
0.4827586207,0.1627906977,
0.5172413793,0.1562500000,
0.5517241379,0.1616161616,
0.5862068966,0.1634615385,
0.6206896552,0.1714285714,
0.6551724138,0.1666666667,
0.6896551724,0.1724137931,
0.7241379310,0.1764705882,
0.7586206897,0.1641791045,
0.7931034483,0.1642857143,
0.8275862069,0.1463414634,
0.8620689655,0.1470588235,
0.8965517241,0.1340206186,
0.9310344828,0.1261682243,
0.9655172414,0.1161825726,
1.0000000000,0.0960264901,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
