recall,precision,chance_precision
0.0344827586,0.5000000000,
0.0689655172,0.2857142857,
0.1034482759,0.2727272727,
0.1379310345,0.1481481481,
0.1724137931,0.1724137931,
0.2068965517,0.1463414634,
0.2413793103,0.1186440678,
0.2758620690,0.1250000000,
0.3103448276,0.1384615385,
0.3448275862,0.1449275362,
0.3793103448,0.1428571429,
0.4137931034,0.1428571429,
0.4482758621,0.1397849462,
0.4827586207,0.1458333333,
0.5172413793,0.1470588235,
0.5517241379,0.1523809524,
0.5862068966,0.1603773585,
0.6206896552,0.1651376147,
0.6551724138,0.1532258065,
0.6896551724,0.1562500000,
0.7241379310,0.1615384615,
0.7586206897,0.1571428571,
0.7931034483,0.1523178808,
0.8275862069,0.1538461538,
0.8620689655,0.1497005988,
0.8965517241,0.1520467836,
0.9310344828,0.1285714286,
0.9655172414,0.1010830325,
1.0000000000,0.0941558442,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
