recall,precision,chance_precision,dist
0.0344827586,1.0000000000,,0.1453277122
0.0689655172,1.0000000000,,0.1915634632
0.1034482759,1.0000000000,,0.2194277798
0.1379310345,0.5714285714,,0.3229073996
0.1724137931,0.6250000000,,0.3299717277
0.2068965517,0.6666666667,,0.3595139257
0.2413793103,0.7000000000,,0.4492613136
0.2758620690,0.7272727273,,0.4750052416
0.3103448276,0.6923076923,,0.5451499180
0.3448275862,0.5000000000,,0.8180578145
0.3793103448,0.5000000000,,0.8347819027
0.4137931034,0.5217391304,,0.8386598744
0.4482758621,0.5200000000,,0.9038659589
0.4827586207,0.3684210526,,1.4512858825
0.5172413793,0.3846153846,,1.4549486139
0.5517241379,0.3902439024,,1.4605991162
0.5862068966,0.4047619048,,1.4965727033
0.6206896552,0.4186046512,,1.5181586969
0.6551724138,0.4318181818,,1.5342942987
0.6896551724,0.4255319149,,1.5865620743
0.7241379310,0.3888888889,,1.8515740819
0.7586206897,0.2972972973,,2.3916570448
0.7931034483,0.2555555556,,2.5896359712
0.8275862069,0.2637362637,,2.5931254320
0.8620689655,0.2155172414,,2.8117053240
0.8965517241,0.1857142857,,3.0243756841
0.9310344828,0.1221719457,,3.4130230499
0.9655172414,0.1010830325,,3.6216195414
1.0000000000,0.0599173554,,4.5773277784
0.0000000000,,0.0491525424,
1.0000000000,,0.0491525424,
