recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,1.0000000000,
0.2068965517,0.7500000000,
0.2413793103,0.2592592593,
0.2758620690,0.2285714286,
0.3103448276,0.2368421053,
0.3448275862,0.1515151515,
0.3793103448,0.1641791045,
0.4137931034,0.1764705882,
0.4482758621,0.1805555556,
0.4827586207,0.1866666667,
0.5172413793,0.1376146789,
0.5517241379,0.1311475410,
0.5862068966,0.1328125000,
0.6206896552,0.1176470588,
0.6551724138,0.0974358974,
0.6896551724,0.0809716599,
0.7241379310,0.0780669145,
0.7586206897,0.0763888889,
0.7931034483,0.0732484076,
0.8275862069,0.0720720721,
0.8620689655,0.0589622642,
0.8965517241,0.0534979424,
0.9310344828,0.0513307985,
0.9655172414,0.0522388060,
1.0000000000,0.0504347826,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
