recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,1.0000000000,
0.1724137931,1.0000000000,
0.2068965517,0.4000000000,
0.2413793103,0.1944444444,
0.2758620690,0.2162162162,
0.3103448276,0.1956521739,
0.3448275862,0.2040816327,
0.3793103448,0.1549295775,
0.4137931034,0.1666666667,
0.4482758621,0.1780821918,
0.4827586207,0.1521739130,
0.5172413793,0.1250000000,
0.5517241379,0.1300813008,
0.5862068966,0.1197183099,
0.6206896552,0.1258741259,
0.6551724138,0.0931372549,
0.6896551724,0.0836820084,
0.7241379310,0.0777777778,
0.7586206897,0.0753424658,
0.7931034483,0.0730158730,
0.8275862069,0.0729483283,
0.8620689655,0.0589622642,
0.8965517241,0.0518962076,
0.9310344828,0.0504672897,
0.9655172414,0.0519480519,
1.0000000000,0.0500000000,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
