recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.6666666667,
0.1034482759,0.7500000000,
0.1379310345,0.8000000000,
0.1724137931,0.4545454545,
0.2068965517,0.5000000000,
0.2413793103,0.4375000000,
0.2758620690,0.4444444444,
0.3103448276,0.3750000000,
0.3448275862,0.3333333333,
0.3793103448,0.2619047619,
0.4137931034,0.2105263158,
0.4482758621,0.2000000000,
0.4827586207,0.1505376344,
0.5172413793,0.1530612245,
0.5517241379,0.1584158416,
0.5862068966,0.1559633028,
0.6206896552,0.1621621622,
0.6551724138,0.1610169492,
0.6896551724,0.1652892562,
0.7241379310,0.1721311475,
0.7586206897,0.1692307692,
0.7931034483,0.1533333333,
0.8275862069,0.1355932203,
0.8620689655,0.1381215470,
0.8965517241,0.1160714286,
0.9310344828,0.1189427313,
0.9655172414,0.1142857143,
1.0000000000,0.0983050847,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
