recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,1.0000000000,
0.1379310345,0.8000000000,
0.1724137931,0.7142857143,
0.2068965517,0.6000000000,
0.2413793103,0.6363636364,
0.2758620690,0.5333333333,
0.3103448276,0.5294117647,
0.3448275862,0.5000000000,
0.3793103448,0.4782608696,
0.4137931034,0.5000000000,
0.4482758621,0.5000000000,
0.4827586207,0.5185185185,
0.5172413793,0.5000000000,
0.5517241379,0.4571428571,
0.5862068966,0.4594594595,
0.6206896552,0.4736842105,
0.6551724138,0.4318181818,
0.6896551724,0.4166666667,
0.7241379310,0.3043478261,
0.7586206897,0.3142857143,
0.7931034483,0.3150684932,
0.8275862069,0.3037974684,
0.8620689655,0.2659574468,
0.8965517241,0.2680412371,
0.9310344828,0.1764705882,
0.9655172414,0.1255605381,
1.0000000000,0.1054545455,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
