recall,precision,chance_precision
0.0344827586,0.1666666667,
0.0689655172,0.2857142857,
0.1034482759,0.3750000000,
0.1379310345,0.4444444444,
0.1724137931,0.4166666667,
0.2068965517,0.4615384615,
0.2413793103,0.5000000000,
0.2758620690,0.2500000000,
0.3103448276,0.2142857143,
0.3448275862,0.1886792453,
0.3793103448,0.2037037037,
0.4137931034,0.1578947368,
0.4482758621,0.1625000000,
0.4827586207,0.1707317073,
0.5172413793,0.1764705882,
0.5517241379,0.1839080460,
0.5862068966,0.1808510638,
0.6206896552,0.1894736842,
0.6551724138,0.1759259259,
0.6896551724,0.1492537313,
0.7241379310,0.1468531469,
0.7586206897,0.1486486486,
0.7931034483,0.1523178808,
0.8275862069,0.1445783133,
0.8620689655,0.1470588235,
0.8965517241,0.1468926554,
0.9310344828,0.1398963731,
0.9655172414,0.1365853659,
1.0000000000,0.1028368794,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
