recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.6666666667,
0.1034482759,0.7500000000,
0.1379310345,0.8000000000,
0.1724137931,0.8333333333,
0.2068965517,0.8571428571,
0.2413793103,0.8750000000,
0.2758620690,0.6666666667,
0.3103448276,0.6000000000,
0.3448275862,0.3030303030,
0.3793103448,0.2500000000,
0.4137931034,0.2448979592,
0.4482758621,0.1884057971,
0.4827586207,0.1707317073,
0.5172413793,0.1685393258,
0.5517241379,0.1584158416,
0.5862068966,0.1024096386,
0.6206896552,0.1046511628,
0.6551724138,0.0871559633,
0.6896551724,0.0862068966,
0.7241379310,0.0709459459,
0.7586206897,0.0612813370,
0.7931034483,0.0630136986,
0.8275862069,0.0636604775,
0.8620689655,0.0661375661,
0.8965517241,0.0626506024,
0.9310344828,0.0602678571,
0.9655172414,0.0604751620,
1.0000000000,0.0542056075,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
