recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,1.0000000000,
0.1034482759,0.5000000000,
0.1379310345,0.4444444444,
0.1724137931,0.3571428571,
0.2068965517,0.3529411765,
0.2413793103,0.3684210526,
0.2758620690,0.3809523810,
0.3103448276,0.3333333333,
0.3448275862,0.3571428571,
0.3793103448,0.3793103448,
0.4137931034,0.3636363636,
0.4482758621,0.3170731707,
0.4827586207,0.3111111111,
0.5172413793,0.2631578947,
0.5517241379,0.2580645161,
0.5862068966,0.2179487179,
0.6206896552,0.2045454545,
0.6551724138,0.1862745098,
0.6896551724,0.1526717557,
0.7241379310,0.1135135135,
0.7586206897,0.1004566210,
0.7931034483,0.0821428571,
0.8275862069,0.0716417910,
0.8620689655,0.0733137830,
0.8965517241,0.0687830688,
0.9310344828,0.0699481865,
0.9655172414,0.0669856459,
1.0000000000,0.0625000000,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
