recall,precision,chance_precision
0.0344827586,0.3333333333,
0.0689655172,0.5000000000,
0.1034482759,0.3333333333,
0.1379310345,0.3636363636,
0.1724137931,0.2631578947,
0.2068965517,0.2608695652,
0.2413793103,0.2800000000,
0.2758620690,0.3076923077,
0.3103448276,0.3214285714,
0.3448275862,0.2941176471,
0.3793103448,0.2619047619,
0.4137931034,0.2790697674,
0.4482758621,0.2321428571,
0.4827586207,0.2187500000,
0.5172413793,0.2112676056,
0.5517241379,0.2051282051,
0.5862068966,0.1491228070,
0.6206896552,0.1384615385,
0.6551724138,0.1301369863,
0.6896551724,0.1226993865,
0.7241379310,0.1213872832,
0.7586206897,0.1182795699,
0.7931034483,0.1133004926,
0.8275862069,0.1034482759,
0.8620689655,0.0892857143,
0.8965517241,0.0614657210,
0.9310344828,0.0635294118,
0.9655172414,0.0627802691,
1.0000000000,0.0503472222,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
