recall,precision,chance_precision
0.0344827586,0.1250000000,
0.0689655172,0.0714285714,
0.1034482759,0.1034482759,
0.1379310345,0.1250000000,
0.1724137931,0.1388888889,
0.2068965517,0.1578947368,
0.2413793103,0.1794871795,
0.2758620690,0.1632653061,
0.3103448276,0.1764705882,
0.3448275862,0.1315789474,
0.3793103448,0.1279069767,
0.4137931034,0.1363636364,
0.4482758621,0.1326530612,
0.4827586207,0.1157024793,
0.5172413793,0.1181102362,
0.5517241379,0.1250000000,
0.5862068966,0.0894736842,
0.6206896552,0.0786026201,
0.6551724138,0.0805084746,
0.6896551724,0.0819672131,
0.7241379310,0.0752688172,
0.7586206897,0.0694006309,
0.7931034483,0.0680473373,
0.8275862069,0.0703812317,
0.8620689655,0.0651041667,
0.8965517241,0.0656565657,
0.9310344828,0.0630841121,
0.9655172414,0.0595744681,
1.0000000000,0.0613107822,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
