recall,precision,chance_precision
0.0344827586,1.0000000000,
0.0689655172,0.4000000000,
0.1034482759,0.5000000000,
0.1379310345,0.5714285714,
0.1724137931,0.4545454545,
0.2068965517,0.5000000000,
0.2413793103,0.5000000000,
0.2758620690,0.4705882353,
0.3103448276,0.4285714286,
0.3448275862,0.3571428571,
0.3793103448,0.3437500000,
0.4137931034,0.3529411765,
0.4482758621,0.1857142857,
0.4827586207,0.1794871795,
0.5172413793,0.1724137931,
0.5517241379,0.1584158416,
0.5862068966,0.1574074074,
0.6206896552,0.1276595745,
0.6551724138,0.1338028169,
0.6896551724,0.1369863014,
0.7241379310,0.1346153846,
0.7586206897,0.0995475113,
0.7931034483,0.1026785714,
0.8275862069,0.1038961039,
0.8620689655,0.0728862974,
0.8965517241,0.0747126437,
0.9310344828,0.0697674419,
0.9655172414,0.0677966102,
1.0000000000,0.0662100457,
0.0000000000,,0.0491525424
1.0000000000,,0.0491525424
